order_id,address,date,status
1000,"1, rue Launay, 08696 Moreno-la-Forêt",2023-01-01 22:35:33,en cours
1001,"1, rue Collin, 18990 Maréchal-sur-Mer",2023-01-04 01:29:58,annulée
1002,"11, rue de Weiss, 68260 Salmon-la-Forêt",2023-01-07 08:35:25,livrée
1003,"88, chemin Cousin, 41841 Ribeiro",2023-01-10 17:25:00,en cours
1004,"31, boulevard de Lecomte, 84802 Saint Célina-sur-Mer",2023-01-13 01:51:32,en cours
1005,"46, boulevard Andrée Didier, 54358 Sainte Susan",2023-01-16 08:50:51,annulée
1006,"856, avenue de Couturier, 72622 Saint Denise",2023-01-19 08:10:31,en cours
1007,"4, boulevard Tessier, 85169 Dupont",2023-01-22 21:52:26,en cours
1008,"66, chemin Vasseur, 50898 Couturier-sur-Cohen",2023-01-25 23:50:57,annulée
1009,"64, rue Carlier, 06263 Navarro",2023-01-28 13:41:40,livrée
1010,"568, avenue Charrier, 70779 Valette",2023-01-31 10:41:56,livrée
1011,"7, chemin Sauvage, 75968 Masson",2023-02-03 10:10:28,livrée
1012,"2, rue Guy Pinto, 24683 Le Goff-sur-Mer",2023-02-06 12:01:04,en cours
1013,"62, rue Juliette Olivier, 15992 Lesagenec",2023-02-09 14:48:21,livrée
1014,"avenue Richard, 23601 Evrard-sur-Rodrigues",2023-02-12 06:17:27,annulée
1015,"rue Alice Bernier, 97273 Gérarddan",2023-02-15 15:12:07,livrée
1016,"avenue de Raymond, 37768 Nguyen-sur-Bourdon",2023-02-18 07:29:39,livrée
1017,"89, rue de Berthelot, 39429 Guyon",2023-02-21 23:49:37,en cours
1018,"rue Auguste Mary, 49270 Petitjean",2023-02-24 17:58:44,annulée
1019,"rue de Guilbert, 04102 Tanguy",2023-02-27 00:48:53,en cours
1020,"1, rue Alphonse Muller, 01647 Dos Santos",2023-03-02 13:18:00,annulée
1021,"46, avenue Lemaire, 01736 Gomez",2023-03-05 01:09:14,en cours
1022,"92, boulevard Eugène Aubry, 57232 Henryboeuf",2023-03-08 12:31:04,livrée
1023,"67, rue Bouvier, 95993 Mercier",2023-03-11 01:55:24,annulée
1024,"52, rue de Cordier, 97149 Saint Pierredan",2023-03-14 15:27:10,livrée
1025,"387, chemin de Schneider, 15222 Ruizdan",2023-03-17 09:58:22,annulée
1026,"23, avenue Jacques, 30814 Marie",2023-03-20 05:15:02,en cours
1027,"54, rue de Mathieu, 79573 Gay",2023-03-23 01:03:11,livrée
1028,"52, chemin Pottier, 32565 Roussel",2023-03-26 18:49:36,en cours
1029,"44, avenue Constance Fernandez, 10736 Descamps-sur-Mer",2023-03-29 19:07:57,livrée
1030,"39, chemin Carlier, 22792 Cohen-sur-Diallo",2023-04-01 22:00:13,en cours
1031,"136, rue Gay, 10455 Fleury",2023-04-04 23:38:26,en cours
1032,"rue de Andre, 75891 LégerBourg",2023-04-07 20:10:36,annulée
1033,"93, avenue de Morin, 09594 Nguyendan",2023-04-10 08:06:38,annulée
1034,"36, rue Zacharie Morin, 88495 Saint Gilbert",2023-04-13 13:24:31,annulée
1035,"22, boulevard Susanne Bigot, 93942 WeberVille",2023-04-16 19:42:28,en cours
1036,"42, chemin Cécile Guyot, 20647 Roussel-les-Bains",2023-04-19 17:52:56,en cours
1037,"41, boulevard de Tanguy, 23757 Marion",2023-04-22 21:57:58,en cours
1038,"43, avenue de Rivière, 36537 Saint Anaïs",2023-04-25 00:46:45,livrée
1039,"27, rue Seguin, 61111 Saint Julien",2023-04-28 04:56:37,livrée
1040,"90, boulevard Ferreira, 58268 Saint Adélaïde",2023-05-01 02:32:14,annulée
1041,"908, rue Vincent Dias, 59761 Saint Frédéric",2023-05-04 16:32:14,en cours
1042,"rue de Leblanc, 81265 Saint Marie",2023-05-07 20:39:25,annulée
1043,"92, rue de Blanchard, 13554 Sauvagenec",2023-05-10 22:37:32,livrée
1044,"rue Joseph Leduc, 47525 Potier-sur-Martineau",2023-05-13 04:52:04,livrée
1045,"86, boulevard de Wagner, 11772 GaillardVille",2023-05-16 02:03:31,livrée
1046,"903, rue Thibault Pascal, 19655 Sainte MarcelBourg",2023-05-19 12:05:08,livrée
1047,"25, rue Nguyen, 79103 Saint Zoé",2023-05-22 22:29:33,livrée
1048,"56, avenue Imbert, 30123 Bazin-les-Bains",2023-05-25 18:32:40,en cours
1049,"6, chemin Christiane Marty, 81423 Sainte Victor",2023-05-28 01:09:00,en cours
1050,"chemin Perrot, 85402 Tessier",2023-05-31 20:02:47,en cours
1051,"76, chemin Pierre Richard, 19546 Prévost",2023-06-03 05:11:16,annulée
1052,"7, boulevard Hebert, 02654 Lacroix-sur-Samson",2023-06-06 20:00:59,livrée
1053,"avenue de Guibert, 12737 Launay",2023-06-09 14:51:03,en cours
1054,"82, boulevard Danielle Klein, 22594 Bonnin",2023-06-12 05:01:16,en cours
1055,"2, chemin de Riou, 45590 Sainte Franck",2023-06-15 00:19:01,livrée
1056,"6, avenue Philippe Lemoine, 12433 Brunel",2023-06-18 09:45:24,livrée
1057,"20, rue Picard, 77753 Saint Olivie",2023-06-21 22:10:43,annulée
1058,"23, boulevard de Guillou, 49449 Moulin-la-Forêt",2023-06-24 08:43:54,livrée
1059,"88, rue de Lebrun, 42444 Chevallier",2023-06-27 07:31:38,livrée
1060,"65, rue Margot Jean, 97480 LarocheVille",2023-06-30 09:49:28,en cours
1061,"65, rue Michelle Lemonnier, 23887 OlivierBourg",2023-07-03 01:17:06,annulée
1062,"32, chemin de Lévy, 66432 Pinto",2023-07-06 10:12:54,annulée
1063,"593, rue Élodie Blin, 32439 Lenoir",2023-07-09 09:14:23,livrée
1064,"445, chemin Valentin, 22845 Chevalier-les-Bains",2023-07-12 16:11:56,livrée
1065,"57, chemin de Fabre, 94569 Fischer",2023-07-15 02:33:29,annulée
1066,"avenue Martineau, 66218 Roy",2023-07-18 02:19:13,en cours
1067,"9, boulevard Grégoire, 63399 Albert",2023-07-21 09:20:49,en cours
1068,"618, avenue Sabine Clerc, 71102 Petitjeanboeuf",2023-07-24 08:19:58,livrée
1069,"5, rue Maillot, 70318 Olivier",2023-07-27 12:25:14,livrée
1070,"37, avenue Nath Lemaire, 16629 Rivière",2023-07-30 18:09:29,en cours
1071,"3, rue Émile Michel, 97277 Laroche",2023-08-02 13:52:17,annulée
1072,"9, chemin Victoire Lévêque, 34363 Barbe",2023-08-05 06:14:57,en cours
1073,"39, rue Pineau, 48578 Bertrand",2023-08-08 22:17:00,en cours
1074,"94, boulevard Hamel, 39272 Masse",2023-08-11 13:39:11,livrée
1075,"84, rue de Hardy, 03809 De Sousa",2023-08-14 02:43:28,livrée
1076,"1, rue de Jean, 97184 Colin",2023-08-17 04:52:58,livrée
1077,"67, rue Alain Parent, 14889 Potier",2023-08-20 00:16:26,livrée
1078,"89, rue Blanc, 97256 RouxVille",2023-08-23 05:40:59,en cours
1079,"95, rue Margaud Texier, 55420 Gaillard-sur-Regnier",2023-08-26 22:11:22,annulée
1080,"9, avenue Xavier Lucas, 33922 Guyondan",2023-08-29 20:40:55,livrée
1081,"rue Caron, 47659 Saint AnaïsBourg",2023-09-01 11:45:03,annulée
1082,"8, avenue de Langlois, 97387 LévêqueVille",2023-09-04 09:49:51,livrée
1083,"570, rue Étienne, 07857 BoulangerBourg",2023-09-07 09:32:07,livrée
1084,"36, rue de Foucher, 76392 Noël",2023-09-10 21:41:01,annulée
1085,"45, rue Martin Lopes, 02110 Poulain",2023-09-13 07:41:04,livrée
1086,"rue de Baron, 73186 Cousinnec",2023-09-16 18:16:12,livrée
1087,"98, rue de Lemaître, 43441 Laporte",2023-09-19 05:12:42,annulée
1088,"58, avenue Étienne Guichard, 03439 Blanchard-sur-Leroux",2023-09-22 13:29:40,en cours
1089,"6, rue Margot Lelièvre, 07129 AlvesVille",2023-09-25 01:29:35,en cours
1090,"1, rue Michelle Bouchet, 28337 Barbier",2023-09-28 17:33:57,en cours
1091,"24, boulevard Laurent, 77361 Saint Henri",2023-10-01 17:01:39,en cours
1092,"32, chemin de Marie, 87809 Sainte Thierry",2023-10-04 17:55:22,annulée
1093,"40, avenue Costa, 86410 Sainte Denis",2023-10-07 08:01:51,annulée
1094,"38, chemin Sabine Lemonnier, 19462 Morin",2023-10-10 22:50:13,en cours
1095,"900, avenue Dos Santos, 43696 DupuisVille",2023-10-13 12:49:18,livrée
1096,"645, chemin de Guibert, 03245 Thomas",2023-10-16 19:59:29,en cours
1097,"496, chemin Vallée, 37184 Daniel-la-Forêt",2023-10-19 08:42:28,en cours
1098,"6, rue de Fournier, 52812 Voisin-sur-Mer",2023-10-22 16:29:32,en cours
1099,"17, chemin de Clerc, 66537 Petitjean",2023-10-25 21:51:47,livrée
